Voltage in [V],Amperage in [A],Error on the voltage,Error on the Amperage
0.13709677419354838,0.0,0.008064516129032251,0.0
0.1629032258064516,0.0,0.0016129032258064419,0.0
0.16612903225806452,1.466275659824047e-05,0.0016129032258064696,1.466275659824047e-05
0.1596774193548387,0.0,0.008064516129032265,0.0
0.1725806451612903,7.331378299120235e-06,0.01451612903225806,7.331378299120235e-06
0.17419354838709677,1.466275659824047e-05,0.0032258064516128976,1.466275659824047e-05
0.17419354838709677,0.0,0.0,0.0
0.18064516129032257,0.0,0.0,0.0
0.14677419354838708,0.0,0.008064516129032251,0.0
0.18548387096774194,1.466275659824047e-05,0.0016129032258064419,0.0
0.18387096774193545,3.665689149560117e-05,0.0032258064516128976,2.1994134897360704e-05
0.19193548387096773,2.19941348973607e-05,0.0016129032258064557,2.19941348973607e-05
0.17903225806451611,7.331378299120235e-06,0.01774193548387097,7.331378299120235e-06
0.19838709677419353,0.0,0.0016129032258064419,0.0
0.2032258064516129,0.0,0.0,0.0
0.22419354838709676,0.0,0.01774193548387097,0.0
0.20806451612903226,0.0,0.0016129032258064419,0.0
0.19999999999999998,0.0,0.019354838709677413,0.0
0.21774193548387094,2.19941348973607e-05,0.0016129032258064557,2.19941348973607e-05
0.20161290322580644,6.598240469208211e-05,0.01451612903225806,6.598240469208211e-05
0.22258064516129028,0.0,1.962615573354719e-17,0.0
0.22419354838709676,0.0,0.0016129032258064419,0.0
0.2290322580645161,0.0,0.0,0.0
0.2290322580645161,7.331378299120235e-06,0.0032258064516129253,7.331378299120235e-06
0.2338709677419355,0.0,0.0016129032258064557,0.0
0.2403225806451613,0.0,0.0016129032258064557,0.0
0.23548387096774193,0.0,0.006451612903225823,0.0
0.24193548387096775,0.0,0.0032258064516128976,0.0
0.25,7.331378299120235e-06,0.0016129032258064419,7.331378299120235e-06
0.25,7.331378299120235e-06,0.0016129032258064419,7.331378299120235e-06
0.25483870967741934,8.797653958944282e-05,0.0,4.3988269794721414e-05
0.25806451612903225,0.0,0.0032258064516129115,0.0
0.2629032258064516,2.19941348973607e-05,0.001612903225806428,2.19941348973607e-05
0.25,7.331378299120235e-06,0.0016129032258064419,7.331378299120235e-06
0.2661290322580645,2.1994134897360704e-05,0.008064516129032251,7.331378299120235e-06
0.26935483870967736,0.0,0.001612903225806456,0.0
0.2790322580645161,7.331378299120235e-06,0.001612903225806428,7.331378299120235e-06
